id,calculated_host_listings_count,availability_365,host_response_rate_num,room_type_code,host_response_time_code,standardization_score,neighborhood_impact_score
2871271,1,96,100.0,2,0,1,1
2785692,1,176,,1,,-1,-1
2892435,2,299,100.0,2,0,-1,-1
3015969,1,0,,1,,1,1
3126320,1,53,,2,,1,1
3199889,2,0,,2,,-1,-1
3139351,1,0,,2,,-1,-1
22158,1,76,100.0,1,1,1,1
48592,102,300,53.0,2,2,-1,-1
55239,2,336,100.0,2,1,1,1
171159,1,325,100.0,2,0,1,1
348747,1,120,100.0,2,0,1,1
243040,2,0,,2,,-1,-1
108591,2,286,100.0,2,0,0,0
270067,1,192,100.0,2,0,-1,-1
536347,1,331,100.0,2,1,0,0
763958,1,204,100.0,1,0,-1,-1
893684,1,11,100.0,2,2,1,1
845652,1,0,,2,,1,1
782257,2,0,,2,,0,0
1005600,1,127,0.0,2,3,-1,-1
886735,1,88,,2,,1,-1
1036684,1,0,,2,,-1,-1
1057854,1,55,0.0,2,3,1,1
1218817,1,0,,2,,0,0
1137844,1,362,,2,,0,0
1301263,1,0,,2,,0,0
1192253,1,285,,2,,1,1
1329018,3,199,100.0,1,0,0,0
1336131,1,76,,2,,0,0
1353338,1,358,,2,,-1,-1
1359986,2,345,100.0,2,0,0,0
1363359,1,0,,2,,0,0
1550642,1,0,,2,,1,1
1670507,1,325,100.0,2,1,1,1
1448260,1,315,100.0,2,2,-1,-1
1785028,1,334,100.0,2,1,1,1
1983291,1,0,,2,,1,1
2050473,1,365,50.0,2,2,-1,-1
1892591,1,239,100.0,2,0,0,0
2162251,5,340,100.0,2,0,1,-1
2488505,8,344,99.0,1,0,0,0
2384250,2,364,80.0,2,1,0,0
2527936,1,241,67.0,2,1,0,0
2615923,1,360,100.0,2,0,-1,-1
2415284,1,351,67.0,2,1,1,1
2579897,2,365,0.0,2,3,1,1
2678065,1,80,100.0,2,0,0,-1
3269034,1,37,0.0,2,3,1,1
3292824,1,0,,2,,1,1
3369673,1,160,,2,,1,1
3385662,2,339,100.0,1,0,-1,-1
3467111,1,0,,2,,0,0
3483434,1,0,,1,,-1,-1
3421149,1,21,100.0,2,0,1,1
3492606,1,23,100.0,2,2,1,1
3493067,1,0,,1,,1,1
3597324,1,166,100.0,1,0,1,-1
3626136,1,177,100.0,2,0,-1,-1
3661319,1,0,,2,,-1,0
3838884,2,280,100.0,2,1,-1,0
3891859,1,361,100.0,1,0,1,1
4008153,1,5,,2,,-1,-1
4028720,1,270,100.0,2,1,0,-1
4195472,1,0,,2,,1,0
4327237,1,207,100.0,2,0,1,1
4073301,1,0,,2,,-1,-1
4421966,1,216,100.0,2,1,-1,-1
4155299,1,226,,2,,-1,-1
4555353,1,0,,2,,1,1
4674903,1,0,,2,,1,1
4574708,1,133,100.0,1,0,1,1
4696099,1,0,,2,,1,-1
4697300,1,364,0.0,2,3,-1,0
4602936,1,99,,2,,1,1
4770319,1,0,,2,,0,-1
4656901,1,0,,2,,0,0
4806693,2,0,,2,,1,1
4947623,1,16,100.0,2,0,1,1
5266569,1,362,80.0,2,1,-1,-1
5416267,1,0,,2,,-1,-1
5506550,1,199,90.0,2,1,0,0
5743007,1,196,60.0,2,2,-1,-1
5745576,1,10,,2,,1,1
5853836,68,0,99.0,2,0,0,0
6136342,1,358,,2,,1,0
5987705,5,346,100.0,2,0,0,0
6197994,1,0,,2,,1,1
6211581,1,247,100.0,2,0,0,0
6260716,1,0,,1,,0,0
6307603,1,227,90.0,2,2,1,1
6454645,1,0,,2,,1,0
6608686,3,2,100.0,2,1,0,0
6631831,1,0,,2,,0,0
6725364,1,2,100.0,2,0,-1,-1
6736599,1,0,,2,,1,1
6764772,1,0,,2,,0,0
6746746,1,0,,2,,1,1
6668409,12,0,,2,,1,1
6675025,12,0,,2,,1,1
6919917,1,0,,2,,0,0
6921651,5,214,100.0,2,0,0,0
6826858,1,0,,2,,0,0
6967533,1,0,,2,,0,0
6990972,1,0,,2,,1,1
7001191,1,363,,2,,-1,-1
7048241,1,0,,2,,-1,-1
7067193,1,0,,2,,0,0
7126716,1,0,,2,,0,0
7155575,1,358,,2,,-1,-1
7161589,1,0,,2,,0,0
7272144,1,0,100.0,2,1,0,0
7296933,1,254,,2,,-1,-1
7299888,68,331,99.0,2,0,-1,-1
7334194,1,0,,2,,0,0
7267594,1,46,100.0,2,0,1,1
7395948,1,0,,2,,1,1
7398532,1,1,100.0,2,0,1,1
7457368,1,364,0.0,2,3,0,0
7560324,1,0,,2,,1,1
7644798,2,0,,2,,1,1
7658875,1,306,90.0,2,2,1,1
7599950,1,7,100.0,2,0,0,0
7677111,1,0,,2,,0,0
7607605,1,0,,2,,-1,-1
7624293,1,0,,2,,1,1
7686703,2,0,,2,,1,1
7890896,1,0,,2,,1,1
7707109,68,324,99.0,2,0,-1,-1
7869412,1,0,,2,,-1,-1
8097866,1,230,100.0,2,0,0,0
8008610,1,0,,2,,0,0
8280416,1,0,,1,,1,-1
8143461,102,338,53.0,2,2,0,0
8356404,1,279,,2,,-1,-1
8626791,1,362,100.0,1,2,1,1
8747930,1,0,,2,,1,0
9003857,1,0,,2,,0,0
8929766,1,0,,2,,1,1
8978922,74,45,58.0,2,2,1,1
9093970,1,0,100.0,1,0,0,0
9100637,1,0,,2,,0,0
9164152,1,0,,2,,-1,-1
9191486,1,254,,2,,1,-1
9323943,1,0,,2,,1,1
9521230,1,73,100.0,2,0,0,0
9835653,1,0,,2,,0,0
9850431,41,65,99.0,2,0,0,0
9628436,1,0,,2,,1,-1
9884091,1,0,,2,,1,1
9786323,1,0,,2,,-1,0
9952351,1,0,,2,,0,0
10308241,1,0,,2,,1,1
10315266,1,243,90.0,2,0,-1,-1
9990052,2,269,100.0,2,0,0,0
10330977,1,363,100.0,2,0,0,0
10007224,1,0,,2,,-1,-1
10009143,1,315,,2,,1,1
10177415,1,334,100.0,2,0,-1,-1
10187638,1,0,,2,,0,0
10049291,141,152,100.0,2,0,1,1
10461161,1,0,20.0,2,3,-1,-1
10266213,1,0,,2,,-1,-1
10534837,1,231,100.0,1,0,-1,-1
10777269,1,0,,1,,0,0
10640909,1,0,,2,,0,0
10930100,6,269,67.0,2,1,0,-1
11076926,1,253,100.0,1,0,-1,-1
11195250,1,0,,2,,1,1
11254840,2,0,,2,,1,1
11436236,2,243,100.0,2,0,1,1
11559006,1,74,67.0,2,2,-1,-1
11450917,2,336,100.0,2,0,1,1
12086068,1,56,,2,,0,0
12087891,1,167,100.0,2,1,0,0
11895850,2,241,25.0,2,3,-1,-1
12196813,1,364,100.0,2,0,1,1
12198163,1,0,,2,,0,0
12217315,11,353,6.0,2,3,1,1
12237327,1,82,100.0,2,1,1,1
12264956,1,325,100.0,2,1,-1,-1
12575495,1,358,,2,,-1,-1
12461590,1,0,,1,,1,1
12490398,4,20,100.0,2,0,1,1
12593463,1,346,,2,,-1,-1
12666900,1,0,,2,,0,0
12505796,1,365,,2,,0,1
12682231,1,364,,2,,-1,-1
12661406,1,0,100.0,2,0,1,1
12925207,1,0,,1,,-1,-1
12826279,1,141,100.0,2,0,0,0
12845041,1,0,,2,,1,0
13050861,1,0,,2,,-1,1
13051365,1,313,100.0,2,0,1,1
13053546,1,0,,2,,0,0
13253141,1,0,,2,,1,1
13275499,1,0,,2,,1,1
13181865,1,0,,2,,0,0
13257209,1,11,,2,,-1,-1
13293072,1,0,,1,,-1,-1
13262896,11,360,6.0,2,3,1,1
13295529,1,362,50.0,2,2,-1,-1
13365316,1,0,,2,,0,0
13389863,2,14,,2,,-1,-1
13344259,36,332,100.0,2,0,-1,-1
13519930,1,138,100.0,2,0,-1,-1
13600836,1,0,,2,,1,1
13602090,19,88,100.0,2,0,-1,-1
13705258,1,107,83.0,2,0,0,0
13713039,1,0,,2,,1,0
13586390,1,0,,2,,-1,-1
13658730,1,0,,1,,1,1
13736006,1,0,,2,,-1,-1
13756206,1,70,100.0,2,0,1,1
13872071,1,0,,2,,0,0
13813405,1,0,,2,,1,1
13956913,1,0,,2,,-1,-1
13989978,1,356,100.0,2,1,1,1
14193443,6,0,,2,,0,0
14230902,13,317,100.0,2,0,1,1
14114356,1,0,,1,,1,1
14275153,1,82,100.0,2,1,-1,-1
14173173,1,0,,2,,1,1
14066049,1,0,,2,,0,0
14175814,1,265,,2,,1,1
14178982,1,0,,2,,-1,-1
14358983,1,305,100.0,2,0,1,1
14628856,2,0,,1,,0,0
14753339,1,0,,2,,1,1
14540984,1,281,100.0,2,0,0,0
14791770,1,215,100.0,2,0,1,1
14574055,1,0,,1,,1,1
15013954,1,0,,2,,-1,1
15107916,1,17,100.0,2,2,-1,-1
15110831,3,170,100.0,2,0,-1,-1
14852046,1,363,100.0,2,1,0,0
15131768,25,287,64.0,2,2,1,1
15593539,19,28,100.0,2,0,-1,-1
15281334,1,281,60.0,2,2,-1,-1
15637733,1,196,,2,,-1,-1
15646678,1,0,,2,,0,0
15462775,1,252,100.0,2,1,-1,-1
15673624,1,0,,2,,-1,-1
15487716,3,0,,2,,1,1
16021074,1,358,,2,,-1,-1
15881622,19,174,98.0,2,0,0,1
15899428,1,0,,2,,1,1
16045277,1,109,100.0,2,1,0,0
16219495,1,0,,2,,0,0
16331783,2,343,100.0,2,1,-1,-1
16433885,26,294,100.0,2,0,0,-1
16539736,1,0,,1,,1,1
17118376,1,162,,2,,1,1
17369914,1,0,,2,,-1,-1
17548344,1,0,,2,,0,0
17477446,1,365,100.0,2,0,0,0
17746348,1,211,100.0,2,0,1,1
17510295,26,312,100.0,2,0,0,0
17760915,4,0,,1,,-1,-1
17769356,1,335,100.0,2,1,0,1
17784695,1,0,,1,,0,0
17874094,1,0,,2,,1,-1
18074771,1,0,,2,,-1,0
18245894,1,0,,2,,0,0
18205045,3,204,100.0,1,0,-1,-1
18543640,1,0,,2,,1,1
18301068,1,0,,2,,0,0
18341049,1,274,100.0,2,0,1,1
18592217,1,0,,2,,-1,-1
18501263,1,0,,2,,0,-1
18627010,1,0,,2,,-1,-1
18861731,1,0,100.0,2,1,0,0
18733658,1,0,,2,,1,1
18679358,25,364,64.0,2,2,1,1
18680077,1,0,,2,,1,0
18689741,3,0,100.0,2,0,1,1
18797660,1,246,100.0,2,0,-1,-1
18985577,1,0,,2,,-1,-1
19154606,1,326,100.0,2,0,0,0
19099840,1,0,,2,,0,0
19268981,130,0,58.0,2,2,0,0
19116969,10,151,100.0,2,0,-1,-1
19373778,1,173,75.0,2,1,1,1
19237646,1,73,100.0,2,1,0,-1
19424607,1,0,,2,,0,0
19444226,57,0,,2,,1,1
19504460,1,0,,2,,0,0
19463468,90,365,74.0,2,2,1,1
19482743,1,0,,2,,0,0
19689279,3,0,,1,,1,1
19567542,1,0,,2,,0,-1
19657406,1,0,,2,,-1,-1
19657742,12,0,,2,,-1,-1
19670127,1,0,,2,,-1,-1
19673508,1,329,100.0,1,0,1,1
19728487,1,0,,2,,0,-1
19755546,3,0,,1,,0,0
19755723,3,0,,1,,0,0
19795939,1,154,90.0,2,2,-1,-1
20159456,1,0,,2,,1,1
20080633,1,365,,2,,0,0
20022170,1,0,,2,,1,1
20174468,1,326,100.0,2,0,0,0
20262163,1,157,40.0,2,3,-1,0
20267185,1,0,100.0,2,0,0,0
20218377,2,160,100.0,2,0,-1,-1
20320861,1,48,100.0,2,1,1,1
20471723,1,83,100.0,2,2,1,1
20241076,2,334,90.0,2,1,0,0
20414473,1,0,,2,,1,1
20605635,1,132,100.0,2,0,-1,-1
20781169,1,160,,2,,-1,-1
21067601,1,270,,2,,-1,-1
20929848,1,0,,2,,0,0
20816563,1,0,,2,,1,1
21250979,1,167,100.0,2,1,0,0
21202743,1,0,,2,,-1,-1
21465041,1,0,,2,,-1,-1
21329599,90,280,74.0,2,2,-1,-1
21659430,1,0,,1,,1,1
21673538,1,360,83.0,2,0,-1,-1
21834117,1,150,100.0,2,1,-1,-1
21857142,2,300,100.0,2,0,-1,-1
22025788,1,0,,2,,0,0
21769040,5,0,,2,,-1,0
21780368,8,285,100.0,2,0,1,1
22398638,1,0,,2,,-1,0
22398948,1,0,,2,,1,1
22133154,1,179,67.0,2,2,0,0
22511432,1,0,,2,,0,0
22521435,1,88,,2,,-1,-1
22647020,1,9,90.0,2,0,1,1
22667883,38,355,100.0,2,0,1,1
22828500,2,271,100.0,2,0,1,-1
22669204,1,142,0.0,1,3,1,1
22889414,1,0,,2,,0,0
23036313,2,0,,2,,0,0
23118333,1,225,100.0,2,1,1,-1
23316029,1,0,,2,,1,1
23321708,4,0,,3,,-1,-1
23322168,4,0,,3,,0,0
23101918,4,0,,3,,1,1
23369363,1,0,100.0,2,0,1,1
23274321,1,0,,2,,-1,-1
23464119,1,365,,2,,1,0
23474118,1,229,,2,,1,1
23769001,1,359,100.0,2,2,1,1
23811283,1,0,,2,,-1,-1
23709163,16,295,0.0,2,3,0,0
24225710,1,19,100.0,2,0,1,1
24239004,370,363,100.0,2,0,-1,-1
24132831,102,364,53.0,2,2,1,1
24133705,1,0,100.0,2,1,1,1
24255601,2,271,100.0,2,0,1,0
24507692,2,0,100.0,2,0,1,1
24698217,2,179,,2,,0,0
24723313,1,0,,2,,0,0
24847256,1,0,,1,,-1,-1
24853811,1,269,100.0,2,0,-1,-1
24862301,1,0,,2,,-1,-1
24934385,1,341,100.0,2,2,0,-1
25312836,2,58,100.0,2,0,1,1
25039201,1,177,,2,,1,0
25285583,1,365,0.0,2,3,1,1
25876303,12,314,100.0,1,1,1,1
25503255,1,336,100.0,2,0,1,1
25876305,12,285,100.0,1,1,1,-1
25876309,12,313,100.0,1,1,-1,-1
25876312,12,281,100.0,1,1,0,0
25790941,5,365,,3,,-1,-1
25790942,5,365,,3,,1,1
25790947,5,365,,3,,-1,-1
25790949,5,365,,3,,0,0
25790954,5,365,,3,,1,1
25923831,1,12,,2,,1,1
25839392,1,0,,2,,1,1
